title,link
,http://bitcoinweekly.com/
Bitcoin is moving from its Deceptive phase to a very Disruptive phase.,https://plus.google.com/+PeterHDiamandis/posts/dWQFcpcws8V
A Bitcoin You Can Flip,http://www.flickr.com/photos/jurvetson/8410385932/
Under the Microscope: Economic and Environmental Costs of Bitcoin Mining,http://www.coindesk.com/microscope-economic-environmental-costs-bitcoin-mining/
Separating activity from growth on Bitcoin’s network,http://www.ofnumbers.com/2014/06/23/separating-activity-from-growth-on-bitcoins-network/
51% Of The Network?,http://hashingit.com/analysis/31-51-percent-of-the-network
Hive,https://hivewallet.com/
BTC-e Empowers Veteran Investors with Advanced PAMM Trading Account,http://www.coindesk.com/btc-e-veteran-investors-advanced-trading-account/
OKCoin Adds Algorithmic Trading Tools to Attract High-Volume Investors,http://www.coindesk.com/okcoin-encourages-large-scale-investment-with-algorithmic-trading-launch/
Bitstamped,https://bitstamped.io/
Coinhook,https://www.coinhook.co/
Algorithmic trading with bitcoin – part 2,http://www.wildbunny.co.uk/blog/2014/06/24/algorithmic-trading-with-bitcoin-part-2/
Fast blockchain scanning,http://upcoder.com/8/fast-blockchain-scanning/
haskoin,https://github.com/haskoin/haskoin
Bitcoin Wallet API,http://bitcoin-wallet-api.github.io/
Mike Hearn: Underfunding is Leaving Bitcoin Development in Crisis,http://www.coindesk.com/mike-hearn-underfunding-leaving-bitcoin-development-crisis/
bitcoin-abe,https://github.com/bitcoin-abe/bitcoin-abe
SybilLimit: A Near-Optimal Social Network Defense against Sybil Attacks [PDF],https://www.comp.nus.edu.sg/~yuhf/yuh-sybillimit.pdf
Stanislas Marion,https://twitter.com/stanmarion

