title,link
Chrome 23 Released: WebRTC Goes Public,https://sites.google.com/site/webrtc/blog/seeyouontheweb
Opera 12.10 Released,http://my.opera.com/ODIN/blog/opera-12-10-is-out
W3C Pointer Events Working Group Launched,http://www.w3.org/2012/pointerevents/
IE10 Release Preview Now Available for Windows 7,http://blogs.msdn.com/b/ie/archive/2012/11/13/ie10-fast-fluid-perfect-for-touch-and-available-now-for-windows-7.aspx
5 Intense Workshop Videos. 4 Incredible Teachers.,http://www.mjg.in/FrontendMasters?a=4fd3b4d6641675cd363b0000&discount=html5weekly3&kme=Clicked%20Ad%20Link&km_HTML5_Weekly_Ad_3=Link%201
,http://www.mjg.in/FrontendMasters?a=4fd3b4d6641675cd363b0000&discount=html5weekly3&kme=Clicked%20Ad%20Link&km_HTML5_Weekly_Ad_3=Link%201
5 More HTML5 APIs You Didn't Know Existed,http://davidwalsh.name/more-html5-apis
On HTML5 and The Proposed 'main' Element,http://www.iandevlin.com/blog/2012/11/html5/on-html5-and-the-proposed-main-element
A Web Developer's Guide to The Latest Chrome Beta,http://blog.chromium.org/2012/11/a-web-developers-guide-to-latest-chrome.html
Introducing Wikipedia's New HTML5 Video Player,https://blog.wikimedia.org/2012/11/08/introducing-wikipedias-new-html5-video-player/
An HTML5 Doctor Interview with Robin Berjon; The HTML5 Editor,http://html5doctor.com/interview-with-robin-berjon-html5-editor/
Using the Page Visibility API,http://www.html5rocks.com/en/tutorials/pagevisibility/intro/
Case Study: JAM With Chrome - How We Made The Audio Rock,http://www.html5rocks.com/en/tutorials/casestudies/jamwithchrome-audio/
Scirra's IE10 Review: Still Disappointing for HTML5 Games,https://www.scirra.com/blog/103/ie10-review-still-disappointing-for-html5-games
IE10 Is Incrementally Changing The Direction Of The Web,http://readwrite.com/2012/11/13/ie10-changing-the-direction-of-the-web
Simple Per-Pixel Image Picking On HTML5 Canvas,http://mainroach.blogspot.co.uk/2012/10/html5-canvas-simple-per-pixel-image.html
Internet Explorer 10 Brings HTML5 to Windows Phone 8,http://www.webmonkey.com/2012/11/internet-explorer-10-for-mobile-html5/
Financial Times Exec: HTML5 Is Not Dead,http://www.fiercemobilecontent.com/story/ft-exec-html5-not-dead/2012-11-09
Chrome: Easier Web App Debugging With Multi-User Profiles,https://plus.google.com/u/0/115133653231679625609/posts/N1xsFBWMDA5
The WebGL Podcast: Episode 1,http://thewebglpodcast.com/1/
Shumway: A SWF (Flash) Interpreter Entirely in JavaScript,http://benjamin.smedbergs.us/blog/2012-11-12/shumway-a-swf-interpreter-entirely-in-javascript/
Responsive Img: A jQuery Plugin for Responsive Images,http://responsiveimg.com/
Come and work with Rikki,http://www.dotdigitaljobs.com/?jobid=2
Front-End JavaScript Engineer (jQuery/Backbone/Underscore) at Flite,http://www.flite.com/careers/open-positions/
Javascript Developer at Go Daddy (Multiple Locations),https://www.hirebridge.com/v3/application/applink.aspx?cid=5475&jid=160744
JAM with Chrome,http://www.jamwithchrome.com/
Halfblock: Another Minecraft-style Demo (powered by WebGL),http://halfblock.grumdrig.com/
Web Space Combat,http://www.taylorclarksoftware.com/webspacecombat/index.html?secret=wars
Blackberry's 'Got Game Port-a-Thon',http://devblog.blackberry.com/2012/11/got-game-port-a-thon/
High-Res Browser Logos Get Updated,http://paulirish.com/2010/high-res-browser-icons/
Peter Cooper,http://twitter.com/peterc

