title,link
The O'Reilly Fluent Conference 2014 Call for Proposals Is Open,http://fluentconf.com/fluent2014/public/cfp/286
A Crowd-Funded Reboot for Eloquent JavaScript,https://eloquentjavascript.net/2nd_edition/
,https://eloquentjavascript.net/2nd_edition/
Your mobile website shouldn't look like an 8th grade HTML5 project.,http://bdconf.com/html5
,http://bdconf.com/html5
Understanding ECMAScript 6 Arrow Functions,http://www.nczonline.net/blog/2013/09/10/understanding-ecmascript-6-arrow-functions/
D3 on AngularJS,http://www.ng-newsletter.com/posts/d3-on-angular.html
Anti-Pattern: Putting Data in Prototype Properties,http://www.2ality.com/2013/09/data-in-prototypes.html
Rough Notes on the jQuery Conference Austin Talks,https://gist.github.com/neildahlke/6509891
Getting Started With Node.js; Express; MongoDB,http://cwbuecheler.com/web/tutorials/2013/node-express-mongo/
Node Weekly issue #3.,http://nodeweekly.com/archive/3.html
The Beginner's Guide to three.js,http://blog.teamtreehouse.com/the-beginners-guide-to-three-js
Promise Patterns,http://modernjavascript.blogspot.com/2013/09/promise-patterns.html
Five Helpful Tips When Using RequireJS,http://tech.pro/blog/1561/five-helpful-tips-when-using-requirejs
Creating Custom Filters in jQuery,http://flippinawesome.org/2013/09/09/creating-custom-filters-in-jquery/
Using Node.js and WebSockets to Build a Chat Service,http://net.tutsplus.com/tutorials/javascript-ajax/using-node-js-and-websockets-to-build-a-chat-service/
Getting to Know Mutation Observers,http://dev.opera.com/articles/view/mutation-observers-tutorial/
A Cleaner Backbone Mixin Strategy,http://kevindew.me/post/60797105836/a-cleaner-backbone-mixin-strategy
Retro Game Music using Web Audio and Band.js,http://flippinawesome.org/2013/09/09/retro-game-music-using-web-audio-and-band-js/?
Mocking Server Dependencies in JavaScript and AngularJS,http://flippinawesome.org/2013/09/09/mocking-server-dependencies-in-javascript-and-angularjs/?
Auto-Ignoring Library Code While Debugging in Chrome,http://www.divshot.com/blog/tips-and-tricks/ignoring-library-code-while-debugging-in-chrome/
Hapi: A Server Framework for Node.js,http://spumko.github.io/
CLNDR.js: A Better jQuery Calendar Plugin,http://kylestetz.github.io/CLNDR/
Falcon.js: Structure for Knockout.js,http://stoodder.github.io/falconjs/
Formbuilder.js: An Interface for Users to Build Forms,http://dobtco.github.io/formbuilder/
FilmRoll: A jQuery Carousel,http://straydogstudio.github.io/film_roll/
New Adobe Generator for Photoshop CC uses Node.js for Scripting,http://blogs.adobe.com/photoshopdotcom/2013/09/introducing-adobe-generator-for-photoshop-cc.html
Advanced jQuery Boilerplate: jQuery Plugin to Create Scalable jQuery Plugins; Fast,https://github.com/elclanrs/advanced-jquery-boilerplate
MurmurHash3.js: A JS Implementation of MurmurHash3's Hashing Algorithms,https://github.com/karanlyons/murmurHash3.js
favico.js: Make A Use of Your Favicon with Badges; Images or Videos,http://lab.ejci.net/favico.js/
Sr. JavaScript Engineer (San Francisco - SOMA),http://www.krux.com/pro/who_we_are/careers/javascript_guru/
A well-funded startup with a seasoned team needs you,http://www.jobscore.com/jobs/orchestrate/front-end-engineer/c9z_0ag2qr46YDiGakhP3Q
Join Hack Reactor's Elite S.F. Programming Bootcamp,http://hackreactor.com/?utm_source=jsweekly&utm_medium=email&utm_term=sept&utm_content=jsweekly&utm_campaign=jsweekly
Espruino: JavaScript for Things,http://www.kickstarter.com/projects/48651611/espruino-javascript-for-things

