title,link
Mobile Web Weekly,http://mobilewebweekly.co
Structuring Hybrid Mobile Applications,http://blogs.telerik.com/blogs/14-03-27/structuring-hybrid-mobile-applications
5 Things Every Beginning Android App Developer Should Know,http://thenextweb.com/dd/2014/03/30/5-things-every-beginning-android-app-developer-know/
Rethinking What We Mean by 'Mobile Web',http://daringfireball.net/2014/04/rethinking_what_we_mean_by_mobile_web
Creating a Top 5 Fitness App with PhoneGap Build,http://phonegap.com/blog/2014/04/01/creating-a-top-5-fitness-app-with-phonegapbuild/
UXIM: Choosing Which Mobile Experience to Build,http://www.lukew.com/ff/entry.asp?1863
Sociogram: A Sample Application demonstrating AngularJS/Ionic and Facebook Integration,http://coenraets.org/blog/2014/04/sociogram-angularjs-ionic-facebook/
Throttle Bandwidth for Testing,http://web-design-weekly.com/2014/03/27/throttle-bandwidth-testing/
Introducing PhoneGap for the Enterprise,http://phonegap.com/blog/2014/03/24/introducing-phonegap-for-the-enterprise/
Creating App Store Ready Apps with PhoneGap,http://chrisgriffith.wordpress.com/2014/04/08/creating-app-store-ready-apps-with-phonegap/
40+ Cross Platform Mobile App and Game Development Tools,http://www.riaxe.com/blog/top-cross-platform-mobile-development-tools/
Cordova/PhoneGap Facebook Integration without Plugin,http://coenraets.org/blog/2014/04/facebook-phonegap-cordova-without-plugin/
PhoneGap/Cordova – Adding Plugins,http://devgirl.org/2014/04/09/phonegapcordova-cli-adding-plugins/
Results of PhoneGap Survey,http://www.raymondcamden.com/index.cfm/2014/4/11/Results-of-PhoneGap-Survey
Brian Rinaldi,https://twitter.com/remotesynth
Holly Schinsky,https://twitter.com/devgirlFL

